"","X2","X0.5","X0.5.1","X0.04"
"1",2,0.5,0.5,0.04
"2",2,0.5,1,0.06
"3",2,0.5,1.5,0
"4",2,0.5,2,0.12
"5",2,0.5,2.5,0.06
"6",2,0.5,3,0.06
"7",2,0.5,3.5,0.22
"8",2,0.5,4,0.08
"9",2,0.5,4.5,0.18
"10",2,0.5,5,0.18
"11",2,0.5,5.5,0.12
"12",2,0.5,6,0.14
"13",2,0.5,6.5,0.08
"14",2,0.5,7,0.16
"15",2,0.5,7.5,0.12
"16",2,0.5,8,0.04
"17",2,0.5,8.5,0.08
"18",2,0.5,9,0.12
"19",2,0.5,9.5,0.08
"20",2,0.5,10,0.06
"21",2,1,0.5,0.08
"22",2,1,1,0.16
"23",2,1,1.5,0.1
"24",2,1,2,0.1
"25",2,1,2.5,0.12
"26",2,1,3,0.06
"27",2,1,3.5,0.1
"28",2,1,4,0.12
"29",2,1,4.5,0.06
"30",2,1,5,0.14
"31",2,1,5.5,0.16
"32",2,1,6,0.14
"33",2,1,6.5,0.14
"34",2,1,7,0.1
"35",2,1,7.5,0.04
"36",2,1,8,0.02
"37",2,1,8.5,0.04
"38",2,1,9,0.1
"39",2,1,9.5,0.06
"40",2,1,10,0.14
"41",2,1.5,0.5,0.18
"42",2,1.5,1,0.1
"43",2,1.5,1.5,0.12
"44",2,1.5,2,0.06
"45",2,1.5,2.5,0.16
"46",2,1.5,3,0.08
"47",2,1.5,3.5,0.2
"48",2,1.5,4,0.1
"49",2,1.5,4.5,0.06
"50",2,1.5,5,0.16
"51",2,1.5,5.5,0.12
"52",2,1.5,6,0.08
"53",2,1.5,6.5,0.18
"54",2,1.5,7,0.12
"55",2,1.5,7.5,0.14
"56",2,1.5,8,0.12
"57",2,1.5,8.5,0.12
"58",2,1.5,9,0.18
"59",2,1.5,9.5,0.12
"60",2,1.5,10,0.1
"61",2,2,0.5,0.22
"62",2,2,1,0.16
"63",2,2,1.5,0.18
"64",2,2,2,0.1
"65",2,2,2.5,0.06
"66",2,2,3,0.1
"67",2,2,3.5,0.08
"68",2,2,4,0.18
"69",2,2,4.5,0.1
"70",2,2,5,0.12
"71",2,2,5.5,0.14
"72",2,2,6,0.12
"73",2,2,6.5,0.1
"74",2,2,7,0.08
"75",2,2,7.5,0.1
"76",2,2,8,0.16
"77",2,2,8.5,0.2
"78",2,2,9,0.1
"79",2,2,9.5,0.08
"80",2,2,10,0.12
"81",2,2.5,0.5,0.38
"82",2,2.5,1,0.4
"83",2,2.5,1.5,0.18
"84",2,2.5,2,0.08
"85",2,2.5,2.5,0.14
"86",2,2.5,3,0.12
"87",2,2.5,3.5,0.08
"88",2,2.5,4,0.14
"89",2,2.5,4.5,0.14
"90",2,2.5,5,0.12
"91",2,2.5,5.5,0.18
"92",2,2.5,6,0.06
"93",2,2.5,6.5,0.14
"94",2,2.5,7,0.1
"95",2,2.5,7.5,0.22
"96",2,2.5,8,0.06
"97",2,2.5,8.5,0.14
"98",2,2.5,9,0.12
"99",2,2.5,9.5,0.04
"100",2,2.5,10,0.16
"101",2,3,0.5,0.6
"102",2,3,1,0.24
"103",2,3,1.5,0.26
"104",2,3,2,0.16
"105",2,3,2.5,0.18
"106",2,3,3,0.12
"107",2,3,3.5,0.18
"108",2,3,4,0.12
"109",2,3,4.5,0.14
"110",2,3,5,0.12
"111",2,3,5.5,0.1
"112",2,3,6,0.12
"113",2,3,6.5,0.14
"114",2,3,7,0.14
"115",2,3,7.5,0.16
"116",2,3,8,0.14
"117",2,3,8.5,0.06
"118",2,3,9,0.18
"119",2,3,9.5,0.1
"120",2,3,10,0.24
"121",2,3.5,0.5,0.74
"122",2,3.5,1,0.36
"123",2,3.5,1.5,0.38
"124",2,3.5,2,0.3
"125",2,3.5,2.5,0.18
"126",2,3.5,3,0.16
"127",2,3.5,3.5,0.14
"128",2,3.5,4,0.24
"129",2,3.5,4.5,0.14
"130",2,3.5,5,0.1
"131",2,3.5,5.5,0.1
"132",2,3.5,6,0.1
"133",2,3.5,6.5,0.2
"134",2,3.5,7,0.12
"135",2,3.5,7.5,0.08
"136",2,3.5,8,0.1
"137",2,3.5,8.5,0.08
"138",2,3.5,9,0.14
"139",2,3.5,9.5,0.08
"140",2,3.5,10,0.06
"141",2,4,0.5,0.78
"142",2,4,1,0.46
"143",2,4,1.5,0.38
"144",2,4,2,0.16
"145",2,4,2.5,0.24
"146",2,4,3,0.18
"147",2,4,3.5,0.16
"148",2,4,4,0.2
"149",2,4,4.5,0.16
"150",2,4,5,0.2
"151",2,4,5.5,0.1
"152",2,4,6,0.18
"153",2,4,6.5,0.12
"154",2,4,7,0.18
"155",2,4,7.5,0.16
"156",2,4,8,0.16
"157",2,4,8.5,0.12
"158",2,4,9,0.08
"159",2,4,9.5,0.12
"160",2,4,10,0.14
"161",2,4.5,0.5,0.84
"162",2,4.5,1,0.58
"163",2,4.5,1.5,0.46
"164",2,4.5,2,0.56
"165",2,4.5,2.5,0.38
"166",2,4.5,3,0.26
"167",2,4.5,3.5,0.3
"168",2,4.5,4,0.24
"169",2,4.5,4.5,0.12
"170",2,4.5,5,0.24
"171",2,4.5,5.5,0.16
"172",2,4.5,6,0.14
"173",2,4.5,6.5,0.18
"174",2,4.5,7,0.08
"175",2,4.5,7.5,0.14
"176",2,4.5,8,0.12
"177",2,4.5,8.5,0.22
"178",2,4.5,9,0.1
"179",2,4.5,9.5,0.1
"180",2,4.5,10,0.06
"181",2,5,0.5,0.96
"182",2,5,1,0.58
"183",2,5,1.5,0.5
"184",2,5,2,0.4
"185",2,5,2.5,0.38
"186",2,5,3,0.2
"187",2,5,3.5,0.18
"188",2,5,4,0.24
"189",2,5,4.5,0.14
"190",2,5,5,0.22
"191",2,5,5.5,0.14
"192",2,5,6,0.14
"193",2,5,6.5,0.14
"194",2,5,7,0.12
"195",2,5,7.5,0.16
"196",2,5,8,0.04
"197",2,5,8.5,0.22
"198",2,5,9,0.1
"199",2,5,9.5,0.08
"200",2,5,10,0.1
"201",2,5.5,0.5,0.94
"202",2,5.5,1,0.66
"203",2,5.5,1.5,0.5
"204",2,5.5,2,0.44
"205",2,5.5,2.5,0.34
"206",2,5.5,3,0.42
"207",2,5.5,3.5,0.18
"208",2,5.5,4,0.16
"209",2,5.5,4.5,0.24
"210",2,5.5,5,0.1
"211",2,5.5,5.5,0.16
"212",2,5.5,6,0.14
"213",2,5.5,6.5,0.2
"214",2,5.5,7,0.18
"215",2,5.5,7.5,0.22
"216",2,5.5,8,0.24
"217",2,5.5,8.5,0.24
"218",2,5.5,9,0.1
"219",2,5.5,9.5,0.14
"220",2,5.5,10,0.1
"221",2,6,0.5,0.94
"222",2,6,1,0.74
"223",2,6,1.5,0.6
"224",2,6,2,0.44
"225",2,6,2.5,0.34
"226",2,6,3,0.46
"227",2,6,3.5,0.24
"228",2,6,4,0.26
"229",2,6,4.5,0.26
"230",2,6,5,0.2
"231",2,6,5.5,0.12
"232",2,6,6,0.08
"233",2,6,6.5,0.14
"234",2,6,7,0.14
"235",2,6,7.5,0.16
"236",2,6,8,0.18
"237",2,6,8.5,0.22
"238",2,6,9,0.14
"239",2,6,9.5,0.14
"240",2,6,10,0.2
"241",2,6.5,0.5,0.98
"242",2,6.5,1,0.76
"243",2,6.5,1.5,0.66
"244",2,6.5,2,0.62
"245",2,6.5,2.5,0.52
"246",2,6.5,3,0.48
"247",2,6.5,3.5,0.24
"248",2,6.5,4,0.38
"249",2,6.5,4.5,0.32
"250",2,6.5,5,0.12
"251",2,6.5,5.5,0.22
"252",2,6.5,6,0.22
"253",2,6.5,6.5,0.2
"254",2,6.5,7,0.1
"255",2,6.5,7.5,0.16
"256",2,6.5,8,0.18
"257",2,6.5,8.5,0.16
"258",2,6.5,9,0.18
"259",2,6.5,9.5,0.24
"260",2,6.5,10,0.2
"261",2,7,0.5,0.96
"262",2,7,1,0.94
"263",2,7,1.5,0.66
"264",2,7,2,0.6
"265",2,7,2.5,0.44
"266",2,7,3,0.42
"267",2,7,3.5,0.36
"268",2,7,4,0.3
"269",2,7,4.5,0.34
"270",2,7,5,0.3
"271",2,7,5.5,0.3
"272",2,7,6,0.2
"273",2,7,6.5,0.18
"274",2,7,7,0.18
"275",2,7,7.5,0.26
"276",2,7,8,0.2
"277",2,7,8.5,0.18
"278",2,7,9,0.14
"279",2,7,9.5,0.2
"280",2,7,10,0.12
"281",2,7.5,0.5,1
"282",2,7.5,1,0.88
"283",2,7.5,1.5,0.86
"284",2,7.5,2,0.66
"285",2,7.5,2.5,0.54
"286",2,7.5,3,0.44
"287",2,7.5,3.5,0.4
"288",2,7.5,4,0.3
"289",2,7.5,4.5,0.34
"290",2,7.5,5,0.36
"291",2,7.5,5.5,0.22
"292",2,7.5,6,0.16
"293",2,7.5,6.5,0.16
"294",2,7.5,7,0.16
"295",2,7.5,7.5,0.34
"296",2,7.5,8,0.26
"297",2,7.5,8.5,0.2
"298",2,7.5,9,0.16
"299",2,7.5,9.5,0.12
"300",2,7.5,10,0.16
"301",2,8,0.5,1
"302",2,8,1,0.9
"303",2,8,1.5,0.84
"304",2,8,2,0.7
"305",2,8,2.5,0.48
"306",2,8,3,0.64
"307",2,8,3.5,0.42
"308",2,8,4,0.34
"309",2,8,4.5,0.24
"310",2,8,5,0.42
"311",2,8,5.5,0.22
"312",2,8,6,0.28
"313",2,8,6.5,0.24
"314",2,8,7,0.2
"315",2,8,7.5,0.28
"316",2,8,8,0.22
"317",2,8,8.5,0.24
"318",2,8,9,0.12
"319",2,8,9.5,0.18
"320",2,8,10,0.1
"321",2,8.5,0.5,1
"322",2,8.5,1,0.94
"323",2,8.5,1.5,0.84
"324",2,8.5,2,0.8
"325",2,8.5,2.5,0.64
"326",2,8.5,3,0.5
"327",2,8.5,3.5,0.56
"328",2,8.5,4,0.44
"329",2,8.5,4.5,0.28
"330",2,8.5,5,0.48
"331",2,8.5,5.5,0.28
"332",2,8.5,6,0.22
"333",2,8.5,6.5,0.32
"334",2,8.5,7,0.24
"335",2,8.5,7.5,0.12
"336",2,8.5,8,0.26
"337",2,8.5,8.5,0.24
"338",2,8.5,9,0.24
"339",2,8.5,9.5,0.24
"340",2,8.5,10,0.22
"341",2,9,0.5,1
"342",2,9,1,0.96
"343",2,9,1.5,0.94
"344",2,9,2,0.74
"345",2,9,2.5,0.68
"346",2,9,3,0.48
"347",2,9,3.5,0.56
"348",2,9,4,0.36
"349",2,9,4.5,0.44
"350",2,9,5,0.4
"351",2,9,5.5,0.2
"352",2,9,6,0.32
"353",2,9,6.5,0.28
"354",2,9,7,0.22
"355",2,9,7.5,0.36
"356",2,9,8,0.18
"357",2,9,8.5,0.2
"358",2,9,9,0.14
"359",2,9,9.5,0.38
"360",2,9,10,0.1
"361",2,9.5,0.5,1
"362",2,9.5,1,0.96
"363",2,9.5,1.5,0.96
"364",2,9.5,2,0.82
"365",2,9.5,2.5,0.64
"366",2,9.5,3,0.54
"367",2,9.5,3.5,0.52
"368",2,9.5,4,0.56
"369",2,9.5,4.5,0.52
"370",2,9.5,5,0.38
"371",2,9.5,5.5,0.3
"372",2,9.5,6,0.3
"373",2,9.5,6.5,0.2
"374",2,9.5,7,0.26
"375",2,9.5,7.5,0.34
"376",2,9.5,8,0.28
"377",2,9.5,8.5,0.26
"378",2,9.5,9,0.16
"379",2,9.5,9.5,0.2
"380",2,9.5,10,0.18
"381",2,10,0.5,1
"382",2,10,1,1
"383",2,10,1.5,0.88
"384",2,10,2,0.74
"385",2,10,2.5,0.8
"386",2,10,3,0.64
"387",2,10,3.5,0.64
"388",2,10,4,0.64
"389",2,10,4.5,0.42
"390",2,10,5,0.28
"391",2,10,5.5,0.32
"392",2,10,6,0.36
"393",2,10,6.5,0.36
"394",2,10,7,0.14
"395",2,10,7.5,0.34
"396",2,10,8,0.22
"397",2,10,8.5,0.26
"398",2,10,9,0.18
"399",2,10,9.5,0.32
"400",2,10,10,0.16
"401",3,0.5,0.5,0.12
"402",3,0.5,1,0.12
"403",3,0.5,1.5,0.06
"404",3,0.5,2,0.08
"405",3,0.5,2.5,0.06
"406",3,0.5,3,0.16
"407",3,0.5,3.5,0.12
"408",3,0.5,4,0.12
"409",3,0.5,4.5,0.06
"410",3,0.5,5,0.04
"411",3,0.5,5.5,0.14
"412",3,0.5,6,0.1
"413",3,0.5,6.5,0.08
"414",3,0.5,7,0.16
"415",3,0.5,7.5,0.2
"416",3,0.5,8,0.04
"417",3,0.5,8.5,0.08
"418",3,0.5,9,0.14
"419",3,0.5,9.5,0.08
"420",3,0.5,10,0.2
"421",3,1,0.5,0.26
"422",3,1,1,0.12
"423",3,1,1.5,0.06
"424",3,1,2,0.06
"425",3,1,2.5,0.08
"426",3,1,3,0.08
"427",3,1,3.5,0.1
"428",3,1,4,0.1
"429",3,1,4.5,0.1
"430",3,1,5,0.1
"431",3,1,5.5,0.1
"432",3,1,6,0.14
"433",3,1,6.5,0.12
"434",3,1,7,0.12
"435",3,1,7.5,0.1
"436",3,1,8,0.16
"437",3,1,8.5,0.12
"438",3,1,9,0.14
"439",3,1,9.5,0.06
"440",3,1,10,0.1
"441",3,1.5,0.5,0.4
"442",3,1.5,1,0.12
"443",3,1.5,1.5,0.24
"444",3,1.5,2,0.12
"445",3,1.5,2.5,0.14
"446",3,1.5,3,0.04
"447",3,1.5,3.5,0.08
"448",3,1.5,4,0.06
"449",3,1.5,4.5,0.04
"450",3,1.5,5,0.04
"451",3,1.5,5.5,0.1
"452",3,1.5,6,0.12
"453",3,1.5,6.5,0.12
"454",3,1.5,7,0.12
"455",3,1.5,7.5,0.18
"456",3,1.5,8,0.14
"457",3,1.5,8.5,0.14
"458",3,1.5,9,0.08
"459",3,1.5,9.5,0.06
"460",3,1.5,10,0.04
"461",3,2,0.5,0.72
"462",3,2,1,0.3
"463",3,2,1.5,0.28
"464",3,2,2,0.14
"465",3,2,2.5,0.16
"466",3,2,3,0.14
"467",3,2,3.5,0.2
"468",3,2,4,0.16
"469",3,2,4.5,0.14
"470",3,2,5,0.16
"471",3,2,5.5,0.18
"472",3,2,6,0.08
"473",3,2,6.5,0.06
"474",3,2,7,0.08
"475",3,2,7.5,0.16
"476",3,2,8,0.12
"477",3,2,8.5,0.18
"478",3,2,9,0.1
"479",3,2,9.5,0.08
"480",3,2,10,0.1
"481",3,2.5,0.5,0.7
"482",3,2.5,1,0.56
"483",3,2.5,1.5,0.36
"484",3,2.5,2,0.36
"485",3,2.5,2.5,0.24
"486",3,2.5,3,0.26
"487",3,2.5,3.5,0.1
"488",3,2.5,4,0.08
"489",3,2.5,4.5,0.16
"490",3,2.5,5,0.1
"491",3,2.5,5.5,0.08
"492",3,2.5,6,0.12
"493",3,2.5,6.5,0.08
"494",3,2.5,7,0.12
"495",3,2.5,7.5,0.12
"496",3,2.5,8,0.12
"497",3,2.5,8.5,0.08
"498",3,2.5,9,0.14
"499",3,2.5,9.5,0.16
"500",3,2.5,10,0.04
"501",3,3,0.5,0.94
"502",3,3,1,0.68
"503",3,3,1.5,0.46
"504",3,3,2,0.36
"505",3,3,2.5,0.22
"506",3,3,3,0.3
"507",3,3,3.5,0.2
"508",3,3,4,0.2
"509",3,3,4.5,0.18
"510",3,3,5,0.26
"511",3,3,5.5,0.16
"512",3,3,6,0.16
"513",3,3,6.5,0.12
"514",3,3,7,0.22
"515",3,3,7.5,0.2
"516",3,3,8,0.12
"517",3,3,8.5,0.08
"518",3,3,9,0.12
"519",3,3,9.5,0.1
"520",3,3,10,0.12
"521",3,3.5,0.5,0.96
"522",3,3.5,1,0.74
"523",3,3.5,1.5,0.52
"524",3,3.5,2,0.38
"525",3,3.5,2.5,0.38
"526",3,3.5,3,0.32
"527",3,3.5,3.5,0.2
"528",3,3.5,4,0.32
"529",3,3.5,4.5,0.22
"530",3,3.5,5,0.26
"531",3,3.5,5.5,0.14
"532",3,3.5,6,0.16
"533",3,3.5,6.5,0.1
"534",3,3.5,7,0.12
"535",3,3.5,7.5,0.08
"536",3,3.5,8,0.02
"537",3,3.5,8.5,0.12
"538",3,3.5,9,0.12
"539",3,3.5,9.5,0.06
"540",3,3.5,10,0.14
"541",3,4,0.5,1
"542",3,4,1,0.8
"543",3,4,1.5,0.72
"544",3,4,2,0.54
"545",3,4,2.5,0.46
"546",3,4,3,0.38
"547",3,4,3.5,0.34
"548",3,4,4,0.24
"549",3,4,4.5,0.26
"550",3,4,5,0.16
"551",3,4,5.5,0.14
"552",3,4,6,0.12
"553",3,4,6.5,0.22
"554",3,4,7,0.22
"555",3,4,7.5,0.2
"556",3,4,8,0.16
"557",3,4,8.5,0.08
"558",3,4,9,0.08
"559",3,4,9.5,0.14
"560",3,4,10,0.18
"561",3,4.5,0.5,1
"562",3,4.5,1,0.9
"563",3,4.5,1.5,0.78
"564",3,4.5,2,0.6
"565",3,4.5,2.5,0.34
"566",3,4.5,3,0.4
"567",3,4.5,3.5,0.3
"568",3,4.5,4,0.38
"569",3,4.5,4.5,0.14
"570",3,4.5,5,0.2
"571",3,4.5,5.5,0.16
"572",3,4.5,6,0.16
"573",3,4.5,6.5,0.18
"574",3,4.5,7,0.18
"575",3,4.5,7.5,0.2
"576",3,4.5,8,0.08
"577",3,4.5,8.5,0.16
"578",3,4.5,9,0.16
"579",3,4.5,9.5,0.14
"580",3,4.5,10,0.18
"581",3,5,0.5,1
"582",3,5,1,0.94
"583",3,5,1.5,0.9
"584",3,5,2,0.76
"585",3,5,2.5,0.62
"586",3,5,3,0.46
"587",3,5,3.5,0.38
"588",3,5,4,0.42
"589",3,5,4.5,0.3
"590",3,5,5,0.22
"591",3,5,5.5,0.28
"592",3,5,6,0.22
"593",3,5,6.5,0.28
"594",3,5,7,0.14
"595",3,5,7.5,0.12
"596",3,5,8,0.12
"597",3,5,8.5,0.16
"598",3,5,9,0.12
"599",3,5,9.5,0.16
"600",3,5,10,0.14
"601",3,5.5,0.5,1
"602",3,5.5,1,0.96
"603",3,5.5,1.5,0.86
"604",3,5.5,2,0.8
"605",3,5.5,2.5,0.62
"606",3,5.5,3,0.56
"607",3,5.5,3.5,0.42
"608",3,5.5,4,0.32
"609",3,5.5,4.5,0.18
"610",3,5.5,5,0.18
"611",3,5.5,5.5,0.24
"612",3,5.5,6,0.2
"613",3,5.5,6.5,0.28
"614",3,5.5,7,0.24
"615",3,5.5,7.5,0.2
"616",3,5.5,8,0.08
"617",3,5.5,8.5,0.12
"618",3,5.5,9,0.26
"619",3,5.5,9.5,0.14
"620",3,5.5,10,0.08
"621",3,6,0.5,1
"622",3,6,1,1
"623",3,6,1.5,0.88
"624",3,6,2,0.72
"625",3,6,2.5,0.78
"626",3,6,3,0.6
"627",3,6,3.5,0.38
"628",3,6,4,0.44
"629",3,6,4.5,0.24
"630",3,6,5,0.32
"631",3,6,5.5,0.28
"632",3,6,6,0.12
"633",3,6,6.5,0.28
"634",3,6,7,0.14
"635",3,6,7.5,0.08
"636",3,6,8,0.16
"637",3,6,8.5,0.16
"638",3,6,9,0.1
"639",3,6,9.5,0.22
"640",3,6,10,0.3
"641",3,6.5,0.5,1
"642",3,6.5,1,0.98
"643",3,6.5,1.5,0.96
"644",3,6.5,2,0.76
"645",3,6.5,2.5,0.82
"646",3,6.5,3,0.62
"647",3,6.5,3.5,0.52
"648",3,6.5,4,0.42
"649",3,6.5,4.5,0.4
"650",3,6.5,5,0.38
"651",3,6.5,5.5,0.3
"652",3,6.5,6,0.4
"653",3,6.5,6.5,0.18
"654",3,6.5,7,0.3
"655",3,6.5,7.5,0.3
"656",3,6.5,8,0.24
"657",3,6.5,8.5,0.2
"658",3,6.5,9,0.2
"659",3,6.5,9.5,0.16
"660",3,6.5,10,0.2
"661",3,7,0.5,1
"662",3,7,1,1
"663",3,7,1.5,0.94
"664",3,7,2,0.92
"665",3,7,2.5,0.78
"666",3,7,3,0.76
"667",3,7,3.5,0.54
"668",3,7,4,0.56
"669",3,7,4.5,0.3
"670",3,7,5,0.46
"671",3,7,5.5,0.3
"672",3,7,6,0.36
"673",3,7,6.5,0.2
"674",3,7,7,0.32
"675",3,7,7.5,0.22
"676",3,7,8,0.2
"677",3,7,8.5,0.16
"678",3,7,9,0.2
"679",3,7,9.5,0.24
"680",3,7,10,0.12
"681",3,7.5,0.5,1
"682",3,7.5,1,1
"683",3,7.5,1.5,1
"684",3,7.5,2,0.96
"685",3,7.5,2.5,0.84
"686",3,7.5,3,0.62
"687",3,7.5,3.5,0.54
"688",3,7.5,4,0.52
"689",3,7.5,4.5,0.62
"690",3,7.5,5,0.46
"691",3,7.5,5.5,0.48
"692",3,7.5,6,0.42
"693",3,7.5,6.5,0.28
"694",3,7.5,7,0.32
"695",3,7.5,7.5,0.3
"696",3,7.5,8,0.34
