"","X2","X0.5","X0.5.1","X0.26"
"1",2,0.5,0.5,0.26
"2",2,0.5,1,0.08
"3",2,0.5,1.5,0.02
"4",2,0.5,2,0.06
"5",2,0.5,2.5,0
"6",2,0.5,3,0.06
"7",2,0.5,3.5,0.06
"8",2,0.5,4,0.08
"9",2,0.5,4.5,0.08
"10",2,0.5,5,0.06
"11",2,0.5,5.5,0.02
"12",2,0.5,6,0.04
"13",2,0.5,6.5,0.08
"14",2,0.5,7,0.06
"15",2,0.5,7.5,0.04
"16",2,0.5,8,0.06
"17",2,0.5,8.5,0.06
"18",2,0.5,9,0.02
"19",2,0.5,9.5,0.02
"20",2,0.5,10,0.16
"21",2,1,0.5,0.6
"22",2,1,1,0.2
"23",2,1,1.5,0.12
"24",2,1,2,0.06
"25",2,1,2.5,0.02
"26",2,1,3,0.1
"27",2,1,3.5,0.06
"28",2,1,4,0.02
"29",2,1,4.5,0.1
"30",2,1,5,0.04
"31",2,1,5.5,0.04
"32",2,1,6,0.04
"33",2,1,6.5,0.12
"34",2,1,7,0.08
"35",2,1,7.5,0.06
"36",2,1,8,0.06
"37",2,1,8.5,0.06
"38",2,1,9,0.08
"39",2,1,9.5,0
"40",2,1,10,0.02
"41",2,1.5,0.5,0.78
"42",2,1.5,1,0.3
"43",2,1.5,1.5,0.22
"44",2,1.5,2,0.12
"45",2,1.5,2.5,0.1
"46",2,1.5,3,0.1
"47",2,1.5,3.5,0.06
"48",2,1.5,4,0.06
"49",2,1.5,4.5,0.06
"50",2,1.5,5,0.02
"51",2,1.5,5.5,0
"52",2,1.5,6,0.2
"53",2,1.5,6.5,0
"54",2,1.5,7,0.04
"55",2,1.5,7.5,0.04
"56",2,1.5,8,0.06
"57",2,1.5,8.5,0.06
"58",2,1.5,9,0.02
"59",2,1.5,9.5,0.1
"60",2,1.5,10,0.08
"61",2,2,0.5,0.98
"62",2,2,1,0.62
"63",2,2,1.5,0.32
"64",2,2,2,0.12
"65",2,2,2.5,0.14
"66",2,2,3,0.08
"67",2,2,3.5,0.18
"68",2,2,4,0.14
"69",2,2,4.5,0.02
"70",2,2,5,0.04
"71",2,2,5.5,0.04
"72",2,2,6,0.04
"73",2,2,6.5,0.08
"74",2,2,7,0.04
"75",2,2,7.5,0.04
"76",2,2,8,0.02
"77",2,2,8.5,0.04
"78",2,2,9,0.04
"79",2,2,9.5,0.04
"80",2,2,10,0.02
"81",2,2.5,0.5,1
"82",2,2.5,1,0.82
"83",2,2.5,1.5,0.46
"84",2,2.5,2,0.22
"85",2,2.5,2.5,0.14
"86",2,2.5,3,0.16
