"","X2","X0.5","X0.5.1","X0.92"
"1",2,0.5,0.5,0.08
"2",2,0.5,1,0.0600000000000001
"3",2,0.5,1.5,0.04
"4",2,0.5,2,0.12
"5",2,0.5,2.5,0.08
"6",2,0.5,3,0.02
"7",2,0.5,3.5,0.04
"8",2,0.5,4,0.04
"9",2,0.5,4.5,0.04
"10",2,0.5,5,0
"11",2,0.5,5.5,0.04
"12",2,0.5,6,0.04
"13",2,0.5,6.5,0.04
"14",2,0.5,7,0.1
"15",2,0.5,7.5,0.08
"16",2,0.5,8,0.1
"17",2,0.5,8.5,0
"18",2,0.5,9,0.02
"19",2,0.5,9.5,0.0600000000000001
"20",2,0.5,10,0
"21",2,1,0.5,0.2
"22",2,1,1,0.04
"23",2,1,1.5,0.04
"24",2,1,2,0.08
"25",2,1,2.5,0.04
"26",2,1,3,0.02
"27",2,1,3.5,0.04
"28",2,1,4,0.02
"29",2,1,4.5,0.0600000000000001
"30",2,1,5,0.04
"31",2,1,5.5,0.02
"32",2,1,6,0.0600000000000001
"33",2,1,6.5,0.04
"34",2,1,7,0.1
"35",2,1,7.5,0.04
"36",2,1,8,0.0600000000000001
"37",2,1,8.5,0.1
"38",2,1,9,0.04
"39",2,1,9.5,0.04
"40",2,1,10,0.0600000000000001
"41",2,1.5,0.5,0.26
"42",2,1.5,1,0.08
"43",2,1.5,1.5,0.1
"44",2,1.5,2,0.02
"45",2,1.5,2.5,0.0600000000000001
"46",2,1.5,3,0.0600000000000001
"47",2,1.5,3.5,0.08
"48",2,1.5,4,0.12
"49",2,1.5,4.5,0.08
"50",2,1.5,5,0
"51",2,1.5,5.5,0.04
"52",2,1.5,6,0.0600000000000001
"53",2,1.5,6.5,0.04
"54",2,1.5,7,0.04
"55",2,1.5,7.5,0.04
"56",2,1.5,8,0.04
"57",2,1.5,8.5,0.04
"58",2,1.5,9,0.04
"59",2,1.5,9.5,0.1
"60",2,1.5,10,0.04
"61",2,2,0.5,0.28
"62",2,2,1,0.2
"63",2,2,1.5,0.08
"64",2,2,2,0.0600000000000001
"65",2,2,2.5,0.08
"66",2,2,3,0.0600000000000001
"67",2,2,3.5,0.02
"68",2,2,4,0.0600000000000001
"69",2,2,4.5,0.02
"70",2,2,5,0.04
"71",2,2,5.5,0.16
"72",2,2,6,0.0600000000000001
"73",2,2,6.5,0.0600000000000001
"74",2,2,7,0.0600000000000001
"75",2,2,7.5,0.04
"76",2,2,8,0.02
"77",2,2,8.5,0.02
"78",2,2,9,0.02
"79",2,2,9.5,0.0600000000000001
"80",2,2,10,0.02
"81",2,2.5,0.5,0.28
"82",2,2.5,1,0.08
"83",2,2.5,1.5,0.14
"84",2,2.5,2,0.04
"85",2,2.5,2.5,0.08
"86",2,2.5,3,0.08
"87",2,2.5,3.5,0.08
"88",2,2.5,4,0.0600000000000001
"89",2,2.5,4.5,0.04
"90",2,2.5,5,0.08
"91",2,2.5,5.5,0.0600000000000001
"92",2,2.5,6,0.02
"93",2,2.5,6.5,0.04
"94",2,2.5,7,0.02
"95",2,2.5,7.5,0.02
"96",2,2.5,8,0.1
"97",2,2.5,8.5,0.02
"98",2,2.5,9,0.04
"99",2,2.5,9.5,0.0600000000000001
"100",2,2.5,10,0
"101",2,3,0.5,0.4
"102",2,3,1,0.18
"103",2,3,1.5,0.2
"104",2,3,2,0.12
"105",2,3,2.5,0.1
"106",2,3,3,0.12
"107",2,3,3.5,0.0600000000000001
"108",2,3,4,0.12
"109",2,3,4.5,0.04
"110",2,3,5,0.0600000000000001
"111",2,3,5.5,0.04
"112",2,3,6,0.1
