"","X2","X0.5","X0.5.1","X0.96"
"1",2,0.5,0.5,0.96
"2",2,0.5,1,0.9
"3",2,0.5,1.5,0.96
"4",2,0.5,2,0.92
"5",2,0.5,2.5,0.92
"6",2,0.5,3,0.98
"7",2,0.5,3.5,0.98
"8",2,0.5,4,0.92
"9",2,0.5,4.5,0.92
"10",2,0.5,5,0.98
"11",2,0.5,5.5,0.94
"12",2,0.5,6,0.96
"13",2,0.5,6.5,0.9
"14",2,0.5,7,0.96
"15",2,0.5,7.5,0.9
"16",2,0.5,8,0.94
"17",2,0.5,8.5,1
"18",2,0.5,9,1
"19",2,0.5,9.5,1
"20",2,0.5,10,0.98
"21",2,1,0.5,0.96
"22",2,1,1,0.92
"23",2,1,1.5,0.98
"24",2,1,2,0.94
"25",2,1,2.5,0.92
"26",2,1,3,0.96
"27",2,1,3.5,0.9
"28",2,1,4,0.98
"29",2,1,4.5,0.94
"30",2,1,5,0.96
"31",2,1,5.5,0.96
"32",2,1,6,0.94
"33",2,1,6.5,0.98
"34",2,1,7,0.96
"35",2,1,7.5,1
"36",2,1,8,0.9
"37",2,1,8.5,0.94
"38",2,1,9,0.96
"39",2,1,9.5,0.96
"40",2,1,10,1
"41",2,1.5,0.5,0.9
"42",2,1.5,1,0.94
"43",2,1.5,1.5,0.96
"44",2,1.5,2,0.9
"45",2,1.5,2.5,0.96
"46",2,1.5,3,0.98
"47",2,1.5,3.5,0.94
"48",2,1.5,4,0.92
"49",2,1.5,4.5,0.94
"50",2,1.5,5,0.96
"51",2,1.5,5.5,0.92
"52",2,1.5,6,0.92
"53",2,1.5,6.5,0.94
"54",2,1.5,7,0.94
"55",2,1.5,7.5,0.96
"56",2,1.5,8,0.92
"57",2,1.5,8.5,0.96
"58",2,1.5,9,0.96
"59",2,1.5,9.5,0.94
"60",2,1.5,10,0.94
"61",2,2,0.5,0.98
"62",2,2,1,0.96
"63",2,2,1.5,0.96
"64",2,2,2,0.96
"65",2,2,2.5,0.96
"66",2,2,3,0.94
"67",2,2,3.5,0.94
"68",2,2,4,0.96
"69",2,2,4.5,0.94
"70",2,2,5,0.98
"71",2,2,5.5,0.98
"72",2,2,6,1
"73",2,2,6.5,0.98
"74",2,2,7,0.9
"75",2,2,7.5,0.96
"76",2,2,8,0.94
"77",2,2,8.5,0.94
"78",2,2,9,0.96
"79",2,2,9.5,0.92
"80",2,2,10,0.84
"81",2,2.5,0.5,0.96
"82",2,2.5,1,0.9
"83",2,2.5,1.5,0.92
"84",2,2.5,2,0.92
"85",2,2.5,2.5,0.96
"86",2,2.5,3,0.92
"87",2,2.5,3.5,0.94
"88",2,2.5,4,0.96
"89",2,2.5,4.5,0.92
"90",2,2.5,5,0.92
"91",2,2.5,5.5,0.94
"92",2,2.5,6,0.92
"93",2,2.5,6.5,1
"94",2,2.5,7,0.92
"95",2,2.5,7.5,0.98
"96",2,2.5,8,0.94
"97",2,2.5,8.5,0.92
"98",2,2.5,9,0.88
"99",2,2.5,9.5,0.98
"100",2,2.5,10,0.92
"101",2,3,0.5,0.92
"102",2,3,1,0.96
"103",2,3,1.5,0.96
"104",2,3,2,0.98
"105",2,3,2.5,0.98
"106",2,3,3,0.98
"107",2,3,3.5,1
"108",2,3,4,0.92
"109",2,3,4.5,0.98
"110",2,3,5,0.9
"111",2,3,5.5,0.9
"112",2,3,6,0.96
"113",2,3,6.5,0.9
