"","X2","X0.5","X0.5.1","X0.98"
"1",2,0.5,0.5,0.98
"2",2,0.5,1,0.92
"3",2,0.5,1.5,0.92
"4",2,0.5,2,0.88
"5",2,0.5,2.5,0.98
"6",2,0.5,3,0.98
"7",2,0.5,3.5,1
"8",2,0.5,4,0.9
"9",2,0.5,4.5,0.94
"10",2,0.5,5,0.94
"11",2,0.5,5.5,0.92
"12",2,0.5,6,0.96
"13",2,0.5,6.5,0.96
"14",2,0.5,7,0.98
"15",2,0.5,7.5,0.98
"16",2,0.5,8,0.98
"17",2,0.5,8.5,0.94
"18",2,0.5,9,0.94
"19",2,0.5,9.5,0.9
"20",2,0.5,10,0.98
"21",2,1,0.5,1
"22",2,1,1,0.96
"23",2,1,1.5,0.94
"24",2,1,2,0.92
"25",2,1,2.5,0.96
"26",2,1,3,0.96
"27",2,1,3.5,0.96
"28",2,1,4,0.94
"29",2,1,4.5,0.96
"30",2,1,5,0.98
"31",2,1,5.5,0.94
"32",2,1,6,1
"33",2,1,6.5,0.96
"34",2,1,7,0.94
"35",2,1,7.5,0.96
"36",2,1,8,0.96
"37",2,1,8.5,0.96
"38",2,1,9,0.94
"39",2,1,9.5,0.94
"40",2,1,10,0.92
"41",2,1.5,0.5,0.92
"42",2,1.5,1,0.98
"43",2,1.5,1.5,0.96
"44",2,1.5,2,0.98
"45",2,1.5,2.5,0.98
"46",2,1.5,3,1
"47",2,1.5,3.5,0.9
"48",2,1.5,4,0.98
"49",2,1.5,4.5,0.94
"50",2,1.5,5,0.96
"51",2,1.5,5.5,0.92
"52",2,1.5,6,0.9
"53",2,1.5,6.5,0.96
"54",2,1.5,7,0.94
"55",2,1.5,7.5,0.96
"56",2,1.5,8,0.96
"57",2,1.5,8.5,0.98
"58",2,1.5,9,0.94
"59",2,1.5,9.5,0.98
"60",2,1.5,10,0.94
"61",2,2,0.5,0.98
"62",2,2,1,1
"63",2,2,1.5,0.92
"64",2,2,2,0.94
"65",2,2,2.5,0.98
"66",2,2,3,0.92
"67",2,2,3.5,0.9
"68",2,2,4,0.96
"69",2,2,4.5,1
"70",2,2,5,0.88
"71",2,2,5.5,0.96
"72",2,2,6,0.96
"73",2,2,6.5,0.98
"74",2,2,7,0.92
"75",2,2,7.5,0.92
"76",2,2,8,0.94
"77",2,2,8.5,0.98
"78",2,2,9,0.96
"79",2,2,9.5,0.94
"80",2,2,10,0.94
"81",2,2.5,0.5,0.96
"82",2,2.5,1,0.96
"83",2,2.5,1.5,0.9
"84",2,2.5,2,0.98
"85",2,2.5,2.5,0.88
"86",2,2.5,3,0.94
"87",2,2.5,3.5,0.94
"88",2,2.5,4,0.96
"89",2,2.5,4.5,0.9
"90",2,2.5,5,0.88
"91",2,2.5,5.5,0.96
"92",2,2.5,6,0.98
"93",2,2.5,6.5,0.94
"94",2,2.5,7,0.94
"95",2,2.5,7.5,0.96
"96",2,2.5,8,0.96
"97",2,2.5,8.5,0.98
"98",2,2.5,9,0.96
"99",2,2.5,9.5,0.94
"100",2,2.5,10,0.98
"101",2,3,0.5,0.94
"102",2,3,1,0.94
"103",2,3,1.5,0.94
"104",2,3,2,1
"105",2,3,2.5,0.9
"106",2,3,3,0.96
"107",2,3,3.5,0.96
"108",2,3,4,0.84
"109",2,3,4.5,0.88
"110",2,3,5,0.94
"111",2,3,5.5,0.96
"112",2,3,6,0.98
"113",2,3,6.5,0.96
"114",2,3,7,0.94
"115",2,3,7.5,0.94
"116",2,3,8,0.98
"117",2,3,8.5,0.92
"118",2,3,9,0.96
"119",2,3,9.5,0.96
"120",2,3,10,0.98
"121",2,3.5,0.5,0.94
"122",2,3.5,1,0.96
"123",2,3.5,1.5,0.98
"124",2,3.5,2,0.98
"125",2,3.5,2.5,1
"126",2,3.5,3,0.88
"127",2,3.5,3.5,0.96
"128",2,3.5,4,0.98
"129",2,3.5,4.5,1
"130",2,3.5,5,0.94
"131",2,3.5,5.5,0.96
"132",2,3.5,6,0.94
"133",2,3.5,6.5,0.96
"134",2,3.5,7,0.88
"135",2,3.5,7.5,0.96
"136",2,3.5,8,0.9
"137",2,3.5,8.5,0.96
